name,gender,probability
mary,female,1
anna,female,1
emma,female,1
elizabeth,female,1
minnie,female,0.93
margaret,female,1
ida,female,0.95
alice,female,1
bertha,female,0.86
sarah,female,1
annie,female,0.99
clara,female,1
ella,female,1
florence,female,0.98
cora,female,1
martha,female,0.97
laura,female,1
nellie,female,0.97
grace,female,1
carrie,female,0.92
maude,female,0.76
mabel,female,0.99
bessie,female,0.69
jennie,female,0.94
gertrude,female,0.84
julia,female,1
hattie,female,0.99
edith,female,0.99
mattie,female,0.98
rose,female,1
catherine,female,1
lillian,female,1
ada,female,0.99
lillie,female,0.99
helen,female,0.99
jessie,female,0.67
louise,female,0.96
ethel,female,0.71
lula,female,0.95
myrtle,female,0.64
eva,female,1
frances,female,0.99
lena,female,0.99
lucy,female,1
edna,female,0.94
maggie,female,1
pearl,female,0.99
daisy,female,1
fannie,female,0.91
josephine,female,1
dora,female,0.95
rosa,female,0.98
katherine,female,1
agnes,female,0.97
marie,female,0.99
nora,female,1
may,female,0.96
mamie,female,0.81
blanche,female,0.55
stella,female,1
ellen,female,0.99
nancy,female,0.99
effie,female,0.88
sallie,female,0.83
nettie,female,0.62
della,female,0.97
lizzie,female,0.92
flora,female,0.97
susie,female,0.95
maud,female,0.5
mae,female,0.99
etta,female,0.98
harriet,female,0.97
sadie,female,1
caroline,female,1
katie,female,1
lydia,female,1
elsie,female,0.99
kate,female,1
susan,female,0.98
mollie,female,0.98
alma,female,0.98
addie,female,0.98
georgia,female,0.99
eliza,female,1
lulu,female,1
nannie,female,0.55
lottie,female,0.94
amanda,female,1
belle,female,1
charlotte,female,1
rebecca,female,1
ruth,female,1
viola,female,0.97
olive,female,1
amelia,female,1
hannah,female,1
jane,female,1
virginia,female,0.99
emily,female,1
matilda,female,0.99
irene,female,0.99
kathryn,female,0.99
esther,female,1
willie,male,0.98
henrietta,female,0.92
ollie,male,0.69
amy,female,1
rachel,female,1
sara,female,1
estella,female,0.98
theresa,female,0.98
augusta,female,0.91
ora,female,0.87
pauline,female,0.92
josie,female,1
lola,female,1
sophia,female,1
leona,female,0.97
anne,female,0.99
mildred,female,0.92
ann,female,0.98
beulah,female,0.74
callie,female,1
lou,male,0.56
delia,female,0.96
eleanor,female,1
barbara,female,0.98
iva,female,0.95
louisa,female,0.98
maria,female,1
mayme,female,1
evelyn,female,1
estelle,female,0.99
nina,female,0.99
betty,female,0.97
marion,female,0.65
bettie,female,0.64
dorothy,female,0.99
luella,female,0.97
inez,female,0.92
lela,female,0.96
rosie,female,0.98
allie,female,1
millie,female,0.99
janie,female,0.97
cornelia,female,0.85
victoria,female,1
ruby,female,1
winifred,female,0.96
alta,female,0.83
celia,female,0.98
christine,female,0.98
beatrice,female,0.99
birdie,female,0.93
harriett,female,0.67
mable,female,0.79
myra,female,0.99
sophie,female,1
tillie,female,0.93
isabel,female,1
sylvia,female,0.99
carolyn,female,0.98
isabelle,female,1
leila,female,1
sally,female,0.98
ina,female,0.92
essie,female,0.86
bertie,female,0.5
nell,female,0.91
alberta,female,0.6
katharine,female,0.95
lora,female,0.92
rena,female,0.91
mina,female,0.95
rhoda,female,0.86
mathilda,female,1
abbie,female,0.96
eula,male,0.54
dollie,female,0.5
hettie,female,1
eunice,female,0.94
fanny,female,1
ola,female,0.77
lenora,female,0.96
adelaide,female,1
christina,female,0.99
lelia,female,1
nelle,female,1
sue,female,0.54
johanna,female,0.99
lilly,female,1
lucinda,female,0.96
minerva,female,1
lettie,female,1
roxie,female,0.92
cynthia,female,0.99
helena,female,1
hilda,female,0.89
hulda,female,1
bernice,female,0.9
genevieve,female,1
jean,male,0.7
cordelia,female,1
marian,female,0.97
francis,male,0.91
jeanette,female,0.95
adeline,female,1
gussie,female,0.62
leah,female,1
lois,female,0.96
lura,female,0.62
mittie,female,1
hallie,female,0.98
isabella,female,1
olga,female,0.92
phoebe,female,1
teresa,female,0.98
hester,female,0.5
lida,female,1
lina,female,0.98
winnie,female,0.98
claudia,female,0.99
marguerite,female,0.94
vera,female,1
cecelia,female,0.99
bess,female,0.55
emilie,female,0.98
john,male,1
rosetta,female,0.81
verna,female,0.83
myrtie,female,1
cecilia,female,1
elva,female,0.9
olivia,female,1
ophelia,female,0.98
georgie,female,0.74
elnora,female,0.78
violet,female,1
adele,female,0.99
lily,female,1
linnie,female,0.62
loretta,female,0.98
madge,female,1
polly,female,0.89
virgie,female,0.5
eugenia,female,0.88
lucile,female,0.88
lucille,female,1
mabelle,female,1
rosalie,female,1
kittie,female,1
meta,female,1
angie,female,0.99
dessie,female,0.67
georgiana,female,1
lila,female,1
regina,female,0.99
selma,female,0.95
wilhelmina,female,0.96
bridget,female,0.99
lilla,female,1
malinda,female,1
vina,female,1
freda,female,0.67
gertie,female,1
jeannette,female,0.86
louella,female,1
mandy,female,0.92
roberta,female,0.87
cassie,female,0.97
corinne,female,0.99
ivy,female,1
melissa,female,1
lyda,female,0.67
naomi,female,1
norma,female,0.94
bell,female,0.58
margie,female,0.7
nona,female,1
zella,female,1
dovie,female,0.62
elvira,female,0.91
erma,female,0.83
irma,female,0.93
leota,female,1
william,male,1
artie,male,0.62
blanch,male,0.58
charity,female,0.98
lorena,female,0.96
lucretia,female,1
orpha,female,1
alvina,female,0.84
annette,female,0.97
catharine,female,1
elma,female,0.79
geneva,female,0.98
janet,female,0.96
lee,male,0.94
leora,female,0.93
lona,female,0.74
miriam,female,1
zora,female,0.96
linda,female,0.97
octavia,female,0.97
sudie,female,1
zula,female,1
adella,female,1
alpha,male,0.89
frieda,female,1
george,male,1
joanna,female,1
leonora,female,1
priscilla,female,0.99
tennie,female,0.5
angeline,female,0.98
docia,female,1
ettie,female,1
flossie,female,0.55
hanna,female,0.99
letha,female,0.62
minta,female,1
retta,female,1
rosella,female,0.9
adah,female,1
berta,female,1
elisabeth,female,0.98
elise,female,1
goldie,female,0.93
leola,female,0.76
margret,female,1
adaline,female,1
floy,female,0.58
idella,female,1
juanita,female,0.94
lenna,female,1
lucie,female,1
missouri,female,1
nola,female,0.98
zoe,female,1
eda,female,1
isabell,female,0.97
james,male,1
julie,female,0.99
letitia,female,1
madeline,female,1
malissa,female,1
mariah,female,1
pattie,female,0.55
vivian,female,1
almeda,female,1
aurelia,female,1
claire,female,1
dolly,female,0.86
hazel,female,1
jannie,female,0.54
kathleen,female,0.99
kathrine,female,1
lavinia,female,1
marietta,female,1
melvina,female,1
ona,female,0.88
pinkie,female,0.54
samantha,female,1
susanna,female,1
chloe,female,1
donnie,male,0.96
elsa,female,0.99
gladys,female,0.94
matie,female,1
pearle,female,1
vesta,female,0.5
vinnie,male,0.64
antoinette,female,0.91
clementine,female,1
edythe,female,1
harriette,female,1
libbie,female,1
lilian,female,1
lue,female,0.5
lutie,female,1
magdalena,female,0.98
meda,female,1
rita,female,0.96
tena,female,1
zelma,female,0.68
adelia,female,1
annetta,female,1
antonia,female,0.98
dona,female,0.64
elizebeth,female,1
georgianna,female,1
gracie,female,1
iona,female,0.93
lessie,female,0.58
leta,female,1
liza,female,0.96
mertie,female,1
molly,female,1
neva,female,0.93
oma,female,0.5
alida,female,1
alva,female,0.76
cecile,female,0.84
cleo,female,0.88
donna,female,0.96
ellie,female,1
ernestine,male,0.55
evie,female,0.99
frankie,female,0.57
helene,female,1
minna,female,1
myrta,female,1
prudence,female,1
queen,female,0.97
rilla,female,1
savannah,female,1
tessie,female,0.69
tina,female,0.97
agatha,female,1
america,female,0.98
anita,female,0.96
arminta,female,1
dorothea,female,0.86
ira,male,0.67
luvenia,female,1
marjorie,female,0.99
maybelle,female,1
mellie,female,1
nan,female,1
pearlie,female,0.54
sidney,female,0.6
velma,male,0.63
clare,female,0.99
constance,female,0.97
dixie,female,0.97
ila,female,0.98
iola,female,1
jimmie,male,0.89
louvenia,female,1
lucia,female,1
ludie,female,0.55
luna,female,1
metta,female,1
patsy,female,0.76
phebe,female,1
sophronia,female,1
adda,female,1
avis,female,0.7
betsy,female,0.96
bonnie,female,0.98
cecil,male,0.96
cordie,male,0.55
emmaline,female,1
ethelyn,female,1
hortense,female,1
june,female,0.99
louie,male,0.98
lovie,female,0.74
marcella,female,0.97
melinda,female,0.97
mona,female,0.96
odessa,female,0.93
veronica,female,0.99
aimee,female,0.98
annabel,female,1
ava,female,1
bella,female,1
carolina,female,0.99
cathrine,female,1
christena,female,1
clyde,male,0.98
dena,female,0.84
dolores,female,0.87
eleanore,female,1
elmira,female,1
fay,female,0.76
frank,male,0.99
jenny,female,0.97
kizzie,female,1
lonnie,male,0.91
loula,female,1
magdalene,female,1
mettie,female,1
mintie,female,1
peggy,female,0.72
reba,female,0.74
